closing_date,year,period_type,dividend_value
,2020,full year,0.0
,2019,full year,0.0
,2018,full year,0.0
,2017,full year,0.0
,2016,full year,0.0
2016-07-08,2015,full year,31.53096
,2014,full year,0.0
2014-06-02,2013,full year,6.9486
2013-04-19,2012,full year,19.886
2012-04-09,2011,full year,50.1715
2011-04-14,2010,full year,91.72192
2010-04-19,2009,full year,103.160733
2009-04-14,2008,full year,96.930535
2008-05-07,2007,full year,139.6562
2007-03-30,2006,full year,39.252143
2006-04-25,2005,full year,4.113659
