closing_date,year,period_type,dividend_value
2023-05-23,2022,full year,0.0476815
2022-07-20,2022,full year,0.0035342
2022-07-20,2022,full year,0.0276106
2022-07-20,2021,full year,0.0090563
,2020,full year,0.0
,2019,full year,0.0
,2018,full year,0.0
2018-03-25,2018,full year,0.02514112
,2016,full year,0.0
2016-06-27,2016,full year,0.0574
2016-06-27,2015,full year,0.008837
,2014,full year,0.0
2014-05-27,2013,full year,0.011831507
2013-05-13,2013,full year,0.012578
2013-05-13,2012,full year,0.0103383
2012-04-10,2012,full year,0.03946
2012-04-10,2011,full year,0.10015
